                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0332,                0.67675,                 1.1606,                0.98659,                0.99279,                0.99485,                0.73902,                0.97596,                0.43039,                 1.1553,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0281,                 0.6762,                 1.1595,                0.99273,                0.99481,                0.99474,                0.72023,                  1.029,                0.44051,                 1.1966,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0139,                0.67267,                 1.1752,                0.99283,                0.99746,                0.99495,                0.75835,                0.91109,                0.41088,                 1.1231,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.0209,                0.67653,                 1.1575,                0.99181,                0.99596,                0.99495,                0.74755,                 0.9324,                 0.4211,                  1.137,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.0104,                0.66123,                 1.1634,                 0.9917,                0.99167,                0.99495,                0.74708,                0.94488,                0.42843,                 1.1373,               0.008713,               0.008713,               0.008713
                     67,                  1.009,                0.65364,                 1.1504,                0.99435,                0.99762,                0.99497,                0.76301,                0.89016,                0.40138,                 1.1128,              0.0086932,              0.0086932,              0.0086932
                     68,                0.99748,                 0.6535,                 1.1649,                0.99305,                0.99611,                0.99481,                0.75714,                0.90355,                 0.4119,                 1.1198,              0.0086734,              0.0086734,              0.0086734
                     69,                0.99503,                0.64987,                 1.1416,                0.99279,                0.99822,                0.99497,                 0.7583,                0.91288,                0.40886,                 1.1184,              0.0086536,              0.0086536,              0.0086536
                     70,                0.98992,                0.65809,                 1.1429,                0.99206,                0.99365,                0.99477,                0.75941,                0.90354,                0.41334,                 1.1148,              0.0086338,              0.0086338,              0.0086338
                     71,                0.98616,                0.64271,                 1.1402,                0.98855,                0.99013,                0.99414,                0.75507,                 0.9125,                 0.4354,                 1.1229,               0.008614,               0.008614,               0.008614
                     72,                0.98533,                0.63882,                  1.134,                0.99305,                0.99726,                0.99497,                0.76308,                0.89191,                0.40268,                 1.1117,              0.0085942,              0.0085942,              0.0085942
                     73,                0.98843,                0.65468,                 1.1526,                0.99461,                0.99791,                  0.995,                0.77208,                0.86651,                0.39922,                 1.0971,              0.0085744,              0.0085744,              0.0085744
                     74,                 0.9885,                0.64692,                  1.157,                0.99106,                0.99719,                  0.995,                0.77242,                0.86455,                0.40082,                 1.0946,              0.0085546,              0.0085546,              0.0085546
                     75,                0.97906,                0.63479,                 1.1311,                0.99419,                0.99794,                  0.995,                0.76732,                0.88901,                 0.3928,                 1.1085,              0.0085348,              0.0085348,              0.0085348
                     76,                0.97788,                0.62131,                 1.1292,                0.99467,                0.99768,                  0.995,                0.78032,                0.84557,                0.38551,                 1.0802,               0.008515,               0.008515,               0.008515
                     77,                0.97127,                0.63083,                 1.1406,                0.99359,                0.99719,                0.99497,                0.77836,                0.84697,                0.38778,                 1.0763,              0.0084952,              0.0084952,              0.0084952
                     78,                0.94855,                 0.6285,                 1.1299,                0.99436,                 0.9981,                0.99498,                0.78517,                 0.8248,                0.38559,                 1.0716,              0.0084754,              0.0084754,              0.0084754
                     79,                0.96565,                0.62901,                 1.1303,                0.99514,                0.99761,                0.99499,                0.79042,                0.81107,                0.37821,                 1.0634,              0.0084556,              0.0084556,              0.0084556
                     80,                0.95208,                0.62799,                 1.1227,                0.99338,                0.99827,                0.99498,                0.77886,                0.85091,                 0.3812,                 1.0798,              0.0084358,              0.0084358,              0.0084358
                     81,                0.94521,                0.58797,                 1.1113,                 0.9949,                0.99462,                0.99493,                0.77913,                0.84686,                0.38188,                 1.0711,               0.008416,               0.008416,               0.008416
                     82,                 0.9458,                0.60319,                 1.1073,                0.99203,                  0.998,                0.99478,                0.78281,                0.82921,                0.37944,                 1.0614,              0.0083962,              0.0083962,              0.0083962
                     83,                0.92766,                 0.6049,                 1.0996,                0.99417,                0.99811,                  0.995,                0.79299,                0.80769,                0.37551,                 1.0457,              0.0083764,              0.0083764,              0.0083764
                     84,                0.93849,                0.60552,                 1.1105,                0.99402,                0.99781,                0.99494,                0.77451,                0.86765,                0.38879,                 1.0868,              0.0083566,              0.0083566,              0.0083566
                     85,                0.93212,                0.61287,                 1.1065,                0.99162,                0.99615,                0.99497,                0.77149,                0.87534,                0.39451,                 1.0923,              0.0083368,              0.0083368,              0.0083368
                     86,                0.93875,                0.61995,                 1.1204,                0.99343,                0.99683,                0.99498,                0.78868,                0.81751,                0.37329,                 1.0593,               0.008317,               0.008317,               0.008317
                     87,                0.92432,                0.59224,                  1.112,                0.99247,                0.99706,                0.99499,                0.79015,                0.80964,                0.37277,                  1.053,              0.0082972,              0.0082972,              0.0082972
                     88,                0.91771,                0.58615,                 1.1064,                0.99321,                0.99802,                  0.995,                 0.8006,                0.77652,                0.36609,                 1.0373,              0.0082774,              0.0082774,              0.0082774
                     89,                 0.9099,                0.59435,                 1.0984,                0.99476,                0.99638,                  0.995,                0.79518,                0.79977,                0.37373,                 1.0483,              0.0082576,              0.0082576,              0.0082576
                     90,                0.91176,                0.58262,                  1.095,                0.99475,                 0.9978,                  0.995,                 0.8043,                0.77169,                0.36225,                 1.0315,              0.0082378,              0.0082378,              0.0082378
                     91,                  0.916,                0.57502,                 1.0911,                0.99383,                0.99832,                  0.995,                0.80073,                0.77779,                0.36282,                 1.0333,               0.008218,               0.008218,               0.008218
                     92,                0.89794,                0.57903,                 1.1008,                 0.9941,                0.99792,                  0.995,                0.80313,                0.77406,                0.35643,                 1.0311,              0.0081982,              0.0081982,              0.0081982
                     93,                0.90953,                0.58738,                 1.1005,                0.99648,                0.99799,                  0.995,                0.80389,                 0.7653,                0.35988,                 1.0285,              0.0081784,              0.0081784,              0.0081784
                     94,                0.89242,                0.58051,                 1.0837,                0.99514,                0.99817,                  0.995,                0.80435,                  0.772,                0.35965,                 1.0269,              0.0081586,              0.0081586,              0.0081586
                     95,                0.89035,                0.57267,                 1.0761,                0.99564,                0.99798,                  0.995,                0.80493,                0.76771,                0.35503,                 1.0253,              0.0081388,              0.0081388,              0.0081388
                     96,                0.87482,                0.56302,                 1.0777,                0.99406,                0.99818,                  0.995,                0.81293,                0.74583,                0.35484,                 1.0118,               0.008119,               0.008119,               0.008119
                     97,                0.89222,                0.57744,                 1.0783,                 0.9947,                0.99741,                0.99498,                0.81495,                0.72935,                0.34746,                 1.0037,              0.0080992,              0.0080992,              0.0080992
                     98,                0.87816,                 0.5758,                 1.0807,                0.99529,                0.99846,                0.99497,                0.81464,                0.73002,                0.34825,                 1.0036,              0.0080794,              0.0080794,              0.0080794
                     99,                0.86255,                0.56711,                 1.0822,                0.99569,                0.99945,                  0.995,                0.81947,                0.71265,                0.33846,                0.99476,              0.0080596,              0.0080596,              0.0080596
